stem,position,category,meaning,who_definition,chinese,target_classes,mechanisms,chemical_classes,indications,examples,infix_required,allowed_infixes,exclusion_rules,priority,source
-tocin,suffix,mechanism_stem,oxytocin derivatives,,缩宫素,,,small_molecule,,merotocin;oxytocin;nacartocin;argiprestocin;cargutocin;aspartocin;carbetocin,false,,,10,WHO INN Programme
-toin,suffix,mechanism_stem,"antiepileptics, hydantoin derivatives",,妥英,,,small_molecule,,albutoin;nitrofurantoin;imepitoin;toin;clodantoin;ethotoin;phenytoin;metetoin,false,,,10,WHO INN Programme
-triptyline,suffix,mechanism_stem,"antidepressants, dibenzo[a,d]cycloheptane or cyclopheptene derivatives",,曲替林,,,small_molecule,psychiatric disorders,amitriptyline;amitriptylinoxide;butriptyline;cotriptyline;intriptyline;nortriptyline;octriptyline;protriptyline,false,,,10,WHO INN Programme
-uridine,suffix,mechanism_stem,uridine derivatives used as antiviral agents and as antineoplastics,,尿苷,,inhibitor,small_molecule,cancer;infectious disease,doxifluridine;idoxuridine;floxuridine;trifluridine;cedazuridine;navuridine;ropidoxuridine;fialuridine,false,,,10,WHO INN Programme
-vaptan,suffix,target_class_stem,vasopressin receptor antagonists,,伐坦,gpcr,antagonist;agonist,small_molecule,,pecavaptan;nelivaptan;enuvaptan;lixivaptan;balovaptan;mozavaptan;brezivaptan;elsovaptan,false,,,10,WHO INN Programme
-vastatin,suffix,mechanism_stem,"antihyperlipidaemic substances, HMG CoA reductase inhibitors",,他汀,enzyme,inhibitor,small_molecule,hyperlipidemia,bemfivastatin;rosuvastatin;atorvastatin;cerivastatin;itavastatin;fluvastatin,false,,,10,WHO INN Programme
-verine,suffix,mechanism_stem,spasmolytics with a papaverine-like action,,维林,,,small_molecule,,alverine;salfluverine;bietamiverine;cinnamaverine;temiverine;zardaverine;pargeverine;diproteverine,false,,,10,WHO INN Programme
-vir,suffix,mechanism_stem,antivirals (undefined group),,韦,,inhibitor,small_molecule,infectious disease,lenacapavir;cenicriviroc;manbavir;pocapavir;nirmatrelvir;vedroprevir;ribavirin;ziresovir,false,,,10,WHO INN Programme
-vircept,suffix,mechanism_stem,antiviral receptors,,西普,,inhibitor,small_molecule,infectious disease,,false,,,10,WHO INN Programme
-virine,suffix,mechanism_stem,non-nucleoside reverse transcriptase inhibitors (NNRTI),,韦,,inhibitor,oligonucleotide,,etravirine;fosdevirine;lersivirine;rilpivirine,false,,,10,WHO INN Programme
-viroc,suffix,target_class_stem,CCR5 (Chemokine CC motif receptor 5) receptor antagonists,,韦,gpcr,antagonist;agonist,small_molecule,,,false,,,10,WHO INN Programme
-virsen,suffix,mechanism_stem,"antisense oligonucleotides, antivirals",,韦,,inhibitor,oligonucleotide,infectious disease,afovirsen;amlivirsen;bepirovirsen;fomivirsen;miravirsen;pepirovirsen;radavirsen;temavirsen,false,,,10,WHO INN Programme
-vudine,suffix,mechanism_stem,uridine derivatives used as antiviral agents and as antineoplastics,,,,inhibitor,small_molecule,cancer;infectious disease,alovudine;brivudine;cedazuridine;censavudine;clevudine;epervudine;fosalvudine tidoxil;alafenamide,false,,,10,WHO INN Programme
-ximab,suffix,chemical_class_stem,chimeric monoclonal antibody,,单抗,,antibody,monoclonal_antibody,,pagibaximab;abciximab;volociximab;brentuximab;cetuximab;infliximab;rituximab,true,-xi-;-zu-,,10,WHO INN Programme
-xizumab,suffix,chemical_class_stem,chimeric-humanized/human monoclonal antibody,,单抗,,antibody,monoclonal_antibody,,navicixizumab;depatuxizumab;azintuxizumab;losatuxizumab,false,,,10,WHO INN Programme
-zumab,suffix,chemical_class_stem,humanized monoclonal antibody,,单抗,,antibody,monoclonal_antibody,,bevacizumab;trastuzumab;omalizumab;ranibizumab;ustekinumab;vedolizumab;pembrolizumab,true,-xi-;-zu-,,10,WHO INN Programme
-actide,suffix,chemical_class_stem,synthetic polypeptide with a corticotropin-like action,,克肽,,,peptide,,alsactide;codactide;giractide;norleusactide,false,,,7,WHO INN Programme
-afenone,suffix,mechanism_stem,"antiarrhythmics, propafenone derivatives",,非农,,,small_molecule,cardiovascular disease,lufuradom;tifluadom;alprafenone;berlafenone;diprafenone;etafenone;propafenone,false,,,7,WHO INN Programme
-aj-,infix,mechanism_stem,"antiarrhythmics, ajmaline derivatives",,义-,,,small_molecule,cardiovascular disease,detajmium bitartrate;lorajmine;prajmalium bitartrate,false,,,7,WHO INN Programme
-aldrate,suffix,mechanism_stem,"antacids, aluminium salts",,铝盐,,,small_molecule,,carbaldrate;potassium glucaldrate;magaldrate;algeldrate;almadrate sulfate;almagodrate;alexitol sodium;almagate,false,,,7,WHO INN Programme
-alol,suffix,mechanism_stem,aromatic ring related to -olols,,洛尔,,,small_molecule,,amosulalol;bendacalol;brefonalol;bufuralol;pronetalol;sotalol;sulfinalol;butidrine,false,,,7,WHO INN Programme
-alox,suffix,mechanism_stem,"antacids, aluminium derivatives",,,,,small_molecule,,carbadox;ciadox;cinoquidox;drazidox;mequidox;olaquindox;temodox;ciclopirox,false,,,7,WHO INN Programme
-amivir,suffix,mechanism_stem,neuraminidase inhibitors,,米韦,,inhibitor,small_molecule,,laninamivir;oseltamivir,false,,,7,WHO INN Programme
-asvir,suffix,mechanism_stem,antihistaminics,,韦,gpcr,,small_molecule,allergy/asthma,coblopasvir;daclatasvir;elbasvir;ledipasvir;odalasvir;velpatasvir,false,,,7,WHO INN Programme
-azepide,suffix,target_class_stem,"cholecystokinin receptor antagonists, benzodiazepine derivatives",,西匹,gpcr,antagonist;agonist,small_molecule,,ceclazepide;devazepide;nastorazepide;netazepide;pranazepide;tarazepide;lorglumide,false,,,7,WHO INN Programme
-azocine,suffix,mechanism_stem,"narcotic antagonists/agonists related to 6,7-benzomorphan",,佐辛,,antagonist;agonist,small_molecule,,anazocine;bremazocine;butinazocine;pentazocine;phenazocine;quadazocine;tonazocine;volazocine,false,,,7,WHO INN Programme
-azoline,suffix,mechanism_stem,"antihistaminics or local vasoconstrictors, antazoline derivatives",,唑啉,gpcr,,small_molecule,allergy/asthma,antazoline;cilutazoline;cirazoline;clonazoline;coumazoline;domazoline;fenoxazoline;indanazoline,false,,,7,WHO INN Programme
-azone,suffix,mechanism_stem,"anti-inflammatory analgesics, phenylbutazone derivatives",,布宗,,,small_molecule,inflammatory diseases;pain,aminophenazone;bisfenazone;famprofazone;propyphenazone;sulfinpyrazone,false,,,7,WHO INN Programme
-azosin,suffix,mechanism_stem,"antihypertensive substances, prazosin derivatives aptamers, classical and mirror ones antivirals, hepatitis C Virus (HCV) NS5A inhibitors",,唑嗪,,inhibitor,small_molecule,cardiovascular disease;infectious disease,bunazosin;doxazosin;neldazosin;prazosin;alfuzosin;tamsulosin;tipentosin,false,,,7,WHO INN Programme
-becestat,suffix,mechanism_stem,beta secretase inhibitors,,司他,,inhibitor,small_molecule,,atabecestat;elenbecestat;umibecestat,false,,,7,WHO INN Programme
-bermin,suffix,mechanism_stem,vascular endothelial growth factors,,,growth_factor,,small_molecule,,telbermin,false,,,7,WHO INN Programme
-borbactam,suffix,mechanism_stem,"β-lactamase inhibitors, boronic acid derivatives",,巴坦,,inhibitor,small_molecule,,edaborbactam;ledaborbactam etzadroxil;taniborbactam;vaborbactam;xeruborbactam,false,,,7,WHO INN Programme
-butazone,suffix,mechanism_stem,"anti-inflammatory analgesics, phenylbutazone derivatives",,布宗,,,small_molecule,inflammatory diseases;pain,mofebutazone;oxyphenbutazone;phenylbutazone,false,,,7,WHO INN Programme
-buvir,suffix,chemical_class_stem,RNA polymerase (NS5B) inhibitors,,韦,enzyme,inhibitor,polymer,,bemnifosbuvir;dasabuvir;deleobuvir;filibuvir;lomibuvir;nesbuvir;radalbuvir;setrobuvir,false,,,7,WHO INN Programme
-capavir,suffix,mechanism_stem,viral capsid and nucleocpsid inhibitors,,韦,,inhibitor,small_molecule,,bersacapavir;canocapavir;claficapavir;pocapavir;lenacapavir,false,,,7,WHO INN Programme
-carnil,suffix,target_class_stem,benzodiazepine receptor antagonists/agonists (carboline derivatives),,卡尔,gpcr,antagonist;agonist,small_molecule,,bretazenil;dimdazenil;flumazenil;sarmazenil;nabazenil,false,,,7,WHO INN Programme
-castat,suffix,mechanism_stem,dopamine-hydroxylase inhibitors,,司特,gpcr,inhibitor,small_molecule,,etamicastat;nepicastat;zamicastat,false,,,7,WHO INN Programme
-cavir,suffix,mechanism_stem,cathepsin inhibitors,,韦,,inhibitor,small_molecule,,abacavir;entecavir;lobucavir,false,,,7,WHO INN Programme
-cellose,suffix,mechanism_stem,cellulose ether derivatives,,赛,,,small_molecule,,carmellose;croscarmellose;ethylcellulose;hyetellose;hymetellose;hyprolose;hypromellose;methylcellulose,false,,,7,WHO INN Programme
-cerfont,suffix,target_class_stem,corticotropin-releasing factor (CRF) receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,crinecerfont;emicerfont;pexacerfont;tildacerfont;verucerfont,false,,,7,WHO INN Programme
-cetrapib,suffix,mechanism_stem,cholesteryl ester transfer protein (CETP) inhibitors,,塞曲匹,,inhibitor,small_molecule,,anacetrapib;dalcetrapib;evacetrapib;obicetrapib;rocacetrapib;torcetrapib,false,,,7,WHO INN Programme
-cianine,suffix,mechanism_stem,indocyanine fluorescence dye group,,,,,small_molecule,,nerindocianine;nizaracianine;omocianine;pudexacianinium chloride,false,,,7,WHO INN Programme
-cic,suffix,mechanism_stem,hepatoprotective substances with a carboxylic acid group,,,,,small_molecule,,limazocic;tidiacic;timonacic;tiofacic;stepronin;bisorcic,false,,,7,WHO INN Programme
-ciclovir,suffix,mechanism_stem,"antivirals, bicyclic heterocycles compounds",,韦,,inhibitor,small_molecule,infectious disease,aciclovir;buciclovir;ganciclovir;lagociclovir;lagociclovir valactate;valganciclovir;valomaciclovir,false,,,7,WHO INN Programme
-cidin,suffix,mechanism_stem,naturally occurring antibiotics (undefined group),,西定,,inhibitor,small_molecule,infectious disease,brilacidin;candicidin;gramicidin;methocidin;guancidine;hepcidin,false,,,7,WHO INN Programme
-ciguat,suffix,mechanism_stem,guanylate cyclase activators and stimulators carbocyclic nucleosides,,西呱,,agonist,oligonucleotide,,ataciguat;cinaciguat;etriciguat;lificiguat,false,,,7,WHO INN Programme
-cillide,suffix,mechanism_stem,"antibiotics, 6-aminopenicillanic acid derivatives",,,,inhibitor,small_molecule,infectious disease,libecillide,false,,,7,WHO INN Programme
-cillinam,suffix,mechanism_stem,"antibiotics, 6-aminopenicillanic acid derivatives",,西林,,inhibitor,small_molecule,infectious disease,bacmecillinam;mecillinam;pivmecillinam,false,,,7,WHO INN Programme
-cilpine,suffix,mechanism_stem,tricyclic compounds,,平,,,small_molecule,,dizocilpine,false,,,7,WHO INN Programme
-cisteine,suffix,mechanism_stem,"mucolytics, other than bromhexine derivatives",,司坦,,,small_molecule,,ancitabine;apricitabine;capecitabine;decitabine;dexelvucitabine;elvucitabine;emtricitabine;lumicitabine,false,,,7,WHO INN Programme
-citinib,suffix,target_class_stem,Janus kinase inhibitors,,替尼,kinase;enzyme,inhibitor,small_molecule,,abrocitinib;atinvicitinib;baricitinib;beprocitinib;delgocitinib;deucravacitinib;fosifidancitinib,false,,,7,WHO INN Programme
-copan,suffix,target_class_stem,complement receptor antagonists/complement inhibitors,,,gpcr,inhibitor;antagonist;agonist,small_molecule,,avacopan;danicopan;iptacopan;nomacopan;pelecopan;vemircopan;pegcetacoplan;zilucoplan,false,,,7,WHO INN Programme
-corilant,suffix,target_class_stem,glucocorticoid receptor ntagonists (non-steroidal),,,nuclear_receptor,agonist,small_molecule,,dagrocorat;fosdagrocorat;mapracorat;mizacorat;tomicorat;velsecorat;dazucorilant;exicorilant,false,,,7,WHO INN Programme
-crinat,suffix,mechanism_stem,"diuretics, etacrynic acid derivatives",,利那,,,small_molecule,,brocrinat;sulicrinat;etacrynic acid;furacrinic acid;indacrinone;tienilic acid,false,,,7,WHO INN Programme
-degib,suffix,target_class_stem,SMO receptor antagonists,,德吉,gpcr,antagonist;agonist,small_molecule,,glasdegib;patidegib;sonidegib;taladegib;vismodegib,false,,,7,WHO INN Programme
-delpar,suffix,mechanism_stem,PPAR delta agonists,,,,agonist,small_molecule,,seladelpar,false,,,7,WHO INN Programme
-demstat,suffix,mechanism_stem,Lysine-specific histone demethylase inhibitors,,司他,,inhibitor,small_molecule,,bomedemstat;iadademstat;pulrodemstat,false,,,7,WHO INN Programme
-denoson,suffix,target_class_stem,adenosine A receptor agonists,,诺生,,agonist,small_molecule,,apadenoson;binodenoson;capadenoson;evodenoson;namodenoson;neladenoson bialanate;piclidenoson;regadenoson,false,,,7,WHO INN Programme
-dermin,suffix,mechanism_stem,epidermal growth factors,,,growth_factor,,small_molecule,,murodermin;nepidermin,false,,,7,WHO INN Programme
-dilol,suffix,mechanism_stem,vasodilators,,地洛,,,small_molecule,cardiovascular disease,carvedilol;dioxadilol;dramedilol;flavodilol;prizidilol;tribendilol;diloxanide;methdilazine,false,,,7,WHO INN Programme
-dismase,suffix,target_class_stem,"enzymes with superoxide dismutase activity, see",,地普酶,,,small_molecule,,ledismase;sudismase;orgotein;pegorgotein,false,,,7,WHO INN Programme
-distim,suffix,mechanism_stem,combination of two different types of colony stimulating factors,,司亭,,,small_molecule,,leridistim;milodistim,false,,,7,WHO INN Programme
-dodekin,suffix,mechanism_stem,interleukin-12 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,avadomide;cemsidomide;endomide;eragidomide;iberdomide;golcadomide;lenalidomide,false,,,7,WHO INN Programme
-dralazine,suffix,mechanism_stem,"antihypertensives, hydrazinephthalazine derivatives",,屈嗪,,,small_molecule,cardiovascular disease,budralazine;cadralazine;dihydralazine;endralazine;hydralazine;mopidralazine;oxdralazine;picodralazine,false,,,7,WHO INN Programme
-dustat,suffix,mechanism_stem,hypoxia inducible factor (HIF) prolyl hydroxylase inhibitors,,司他,,inhibitor,small_molecule,,daprodustat;desidustat;enarodustat;izilendustat;molidustat;roxadustat;vadadustat,false,,,7,WHO INN Programme
-dutant,suffix,target_class_stem,neurokinin NK2 receptor antagonist,,,gpcr,antagonist;agonist,small_molecule,,ibodutant;nepadutant;saredutant,false,,,7,WHO INN Programme
-dyl,suffix,mechanism_stem,vasodilators,,,,,small_molecule,cardiovascular disease,bisacodyl;bunamiodyl;iofendylate,false,,,7,WHO INN Programme
-ectin,suffix,mechanism_stem,"antiparasitics, ivermectin derivatives",,,,,small_molecule,,abamectin;dimadectin;doramectin;nemadectin;selamectin,false,,,7,WHO INN Programme
-elestat,suffix,mechanism_stem,elastase inhibitors,,司他,,inhibitor,small_molecule,,alvelestat;depelestat;freselestat;sivelestat;trofolastat chloride,false,,,7,WHO INN Programme
-emcinal,suffix,mechanism_stem,"erythromycin derivatives lacking antibiotic activity, motilin agonists",,西那,,agonist;inhibitor,small_molecule,infectious disease,alemcinal;idremcinal;mitemcinal,false,,,7,WHO INN Programme
-espib,suffix,mechanism_stem,heat shock protein (HSP) 90 inhibitors (other than,,,,inhibitor,small_molecule,,cemdomespib;ganetespib;icapamespib,false,,,7,WHO INN Programme
-estrant,suffix,target_class_stem,"estrogen antagonists, including estrogen receptor",,雌,nuclear_receptor,antagonist;agonist,small_molecule,,estetrol;chlorotrianisene;clomifene;enclomifene;zuclomifene;amcenestrant;bexirestrant;brilanestrant,false,,,7,WHO INN Programme
-exakin,suffix,mechanism_stem,interleukin-6 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,atexakin alfa;oprelvekin;edodekin alfa,false,,,7,WHO INN Programme
-exine,suffix,mechanism_stem,"mucolytic, bromhexine derivatives",,克新,,,small_molecule,,adamexine;bromhexine;brovanexine;cistinexine;dembrexine;neltenexine;oxabrexine;enefexine,false,,,7,WHO INN Programme
-fenacin,suffix,target_class_stem,muscarinic receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,afacifenacin;darifenacin;imidafenacin;revefenacin;solifenacin;tarafenacin;tofenacin;velufenacin,false,,,7,WHO INN Programme
-fenamate,suffix,mechanism_stem,“fenamic acid” derivatives,,芬那酯,,,small_molecule,,clofenamic acid;enfenamic acid;flufenamic acid;meclofenamic acid;mefenamic acid;tolfenamic acid;colfenamate;etofenamate,false,,,7,WHO INN Programme
-fenicol,suffix,mechanism_stem,"antibacterials, chloramphenicol analogues",,尼-,,inhibitor,small_molecule,infectious disease,azidamfenicol;cetofenicol,false,,,7,WHO INN Programme
-fenine,suffix,mechanism_stem,"analgesics, glafenine derivatives (subgroup of fenamic acid group)",,非宁,,,small_molecule,pain,arclofenin;butilfenin;disofenin;etifenin;galtifenin;lidofenin;mebrofenin;antrafenine,false,,,7,WHO INN Programme
-fensine,suffix,mechanism_stem,"noreinephrine, serotonin, dopamine reuptake inhibitors",,芬辛,gpcr,inhibitor,small_molecule,,brasofensine;diclofensine;lafadofensine;liafensine;nomifensine;perafensine;tesofensine,false,,,7,WHO INN Programme
-fentrine,suffix,mechanism_stem,inhibitors of phosphodiesterases,,芬群,enzyme,inhibitor,small_molecule,,alfentanil;brifentanil;carfentanil;fentanyl;trefentanil;benafentrine;ensifentrine;pumafentrine,false,,,7,WHO INN Programme
-fermin,suffix,mechanism_stem,fibroblast growth factors,,,growth_factor,,small_molecule,,efruxifermin;ersofermin;palifermin;pegbelfermin;pegozafermin;repifermin;sprifermin;timufermin,false,,,7,WHO INN Programme
-fiban,suffix,target_class_stem,fibrinogen receptor antagonists (glycoprotein IIb/ IIIa receptor antagonists),,非班,gpcr,antagonist;agonist,small_molecule,,carafiban;elarofiban;fradafiban;gantofiban;sibrafiban;tirofiban;xemilofiban;zalunfiban,false,,,7,WHO INN Programme
-filermin,suffix,mechanism_stem,leukemia-inhibiting factor,,,,inhibitor,small_molecule,cancer,emfilermin,false,,,7,WHO INN Programme
-flapon,suffix,mechanism_stem,5-lipoxygenase-activating protein (FLAP) inhibitor,,,,inhibitor,small_molecule,,atuliflapon;fiboflapon;quiflapon;veliflapon,false,,,7,WHO INN Programme
-flurane,suffix,mechanism_stem,halogenated compounds used as general inhalation anaesthetics,,氟烷,,,small_molecule,anesthesia,aliflurane;cryofluorane;desflurane;enflurane;teflurane;apaflurane;fluroxene;halothane,false,,,7,WHO INN Programme
-fovir,suffix,mechanism_stem,phosphonic acid derivatives,,韦,,,small_molecule,,adefovir;alamifovir;besifovir;brincidofovir;cidofovir;pradefovir,false,,,7,WHO INN Programme
-fradil,suffix,target_class_stem,calcium channel blockers acting as vasodilators,,地尔,ion_channel,antagonist,small_molecule,cardiovascular disease,mibefradil,false,,,7,WHO INN Programme
-gacestat,suffix,mechanism_stem,gamma-secretase inhibitors,,司他,,inhibitor,small_molecule,,avagacestat;begacestat;crenigacestat;nirogacestat;semagacestat,false,,,7,WHO INN Programme
-ganan,suffix,chemical_class_stem,"antimicrobials, permeability increasing peptides",,,,,peptide,,iseganan;lefleuganan;omiganan;peceleganan;pexiganan;upleganan;voxvoganan,false,,,7,WHO INN Programme
-gatran,suffix,mechanism_stem,"thrombin inhibitor, antithrombotic agent",,加群,,inhibitor,small_molecule,,atecegatran;atecegatran metoxil;dabigatran;etexilate;efegatran;flovagatran;inogatran,false,,,7,WHO INN Programme
-gepant,suffix,chemical_class_stem,calcitonin gene-related peptide receptor antagonists,,,gpcr,antagonist;agonist,peptide,,atogepant;olcegepant;rimegepant;telcagepant;ubrogepant;zavegepant,false,,,7,WHO INN Programme
-giline,suffix,mechanism_stem,monoamine oxydase (MAO)-inhibitors type B,,吉兰,,inhibitor,small_molecule,,adarigiline;clorgiline;mofegiline;pargyline;rasagiline,false,,,7,WHO INN Programme
-gillin,suffix,mechanism_stem,antibiotics produced by Aspergillus strains,,洁林,,inhibitor,small_molecule,infectious disease,fumagillin;mitogillin;mitosper;nifungin,false,,,7,WHO INN Programme
-glitazar,suffix,target_class_stem,"dual peroxisome proliferator activated receptors-α and γ (PPAR- α,γ) agonists",,格列扎,,agonist,small_molecule,,alogliptin;anagliptin;bisegliptin;carmegliptin;cofrogliptin;denagliptin;dutogliptin;evogliptin,false,,,7,WHO INN Programme
-glitazone,suffix,target_class_stem,"peroxisome proliferator activating receptor-γ (PPAR-γ) agonists, thiazolidinedione derivatives",,格列酮,,agonist,small_molecule,,azemiglitazone;ciglitazone;balaglitazone;darglitazone;edaglitazone;englitazone;leriglitazone;lobeglitazone,false,,,7,WHO INN Programme
-glumide,suffix,mechanism_stem,"cholecystokinin (CCK) antagonists, antiulcer, anxiolytic agent",,谷胺,gpcr,antagonist;agonist,small_molecule,psychiatric disorders;gastrointestinal disorders,amiglumide;dexloxiglumide;itriglumide;lorglumide;loxiglomide;proglumide;spiroglumide;tomoglumide,false,,,7,WHO INN Programme
-glurant,suffix,target_class_stem,metabotropic glutamate receptor antagonists/ negative allosteric modulators,,谷兰,gpcr,antagonist;agonist;modulator,small_molecule,,basimglurant;decoglurant;dipraglurant,false,,,7,WHO INN Programme
-glutide,suffix,chemical_class_stem,Glucagon-Like Peptide (GLP) analogues,,,,,peptide,,albiglutide;apraglutide;beinaglutide;dulaglutide;ecnoglutide;elsiglutide;froniglutide;taspoglutide,false,,,7,WHO INN Programme
-golide,suffix,target_class_stem,"dopamine receptor agonists, ergoline derivatives",,高莱,gpcr,agonist,small_molecule,,adrogolide;naxagolide;pergolide;quinagolide;voxergolide;rotigotine,false,,,7,WHO INN Programme
-golix,suffix,mechanism_stem,gonadotropin releasing hormone (GnRH) antagonists,,,nuclear_receptor,antagonist;agonist,small_molecule,,elagolix;linzagolix;merigolix;opigolix;relugolix;sufugolix,false,,,7,WHO INN Programme
-gosivir,suffix,mechanism_stem,glucoside inhibitors,,韦,,inhibitor,small_molecule,,celgosivir,false,,,7,WHO INN Programme
-gramostim,suffix,mechanism_stem,granulocyte macrophage colony stimulating factor (GM-CSF) types substances,,莫司亭,,,small_molecule,,ecogramostim;molgramostim;regramostim,false,,,7,WHO INN Programme
-grastim,suffix,mechanism_stem,granulocyte colony stimulating factor (G-CSF) type substances,,格司亭,,,small_molecule,,balugrastim;efbemalenograstim alfa;pegnartograstim;pegteograstim;telpegfilgrastim,false,,,7,WHO INN Programme
-icam,suffix,mechanism_stem,"anti-inflammatory, isoxicam derivatives",,昔康,,,small_molecule,inflammatory diseases,ampiroxicam;droxicam;enolicam;isoxicam;tesicam,false,,,7,WHO INN Programme
-ifene,suffix,target_class_stem,"antiestrogens or estrogen receptor modulators, clomifene and tamoxifen derivatives",,芬,nuclear_receptor,modulator,small_molecule,,acolbifene;clomifenoxide;tesmilifene;afimoxifene;arzoxifene;bazedoxifene;trioxifene;zindoxifene,false,,,7,WHO INN Programme
-ilide,suffix,mechanism_stem,"class III antiarrhythmics, sematilide derivatives",,利特,,,small_molecule,cardiovascular disease,ambasilide;artilide;azimilide;dofetilide;ersentilide;ibutilide;ipazilide;risotilide,false,,,7,WHO INN Programme
-imibe,suffix,mechanism_stem,"antihyperlipidaemics, acyl CoA: cholesterol acyltransferase (ACAT) inhibitors",,,,inhibitor,small_molecule,hyperlipidemia,avasimibe;canosimibe;eflucimibe;eldacimibe;ezetimibe;lecimibide;nevanimibe;octimibate,false,,,7,WHO INN Programme
-inostat,suffix,mechanism_stem,histone deacetylase inhibitors,,司他,,inhibitor,small_molecule,,abexinostat;alteminostat;belinostat;citarinostat;dacinostat;domatinostat;entinostat;fimepinostat,false,,,7,WHO INN Programme
-inurad,suffix,mechanism_stem,urate transporter inhibitors,,,,inhibitor,small_molecule,,dotinurad;epaminurad;lesinurad;puliginurad;ruzinurad;verinurad;xininurad,false,,,7,WHO INN Programme
-irine,suffix,mechanism_stem,cytotoxic pyrrolobenzodiazepine dimers and analogues,,,,,small_molecule,,camidanlumab tesirine;loncastuximab tesirine;uzoptirine;pivekimab sunirine;rolinsatamab talirine;rovalpituzumab tesirine;serclutamab talirine;pamozirine,false,,,7,WHO INN Programme
-irudin,suffix,mechanism_stem,"thrombin inhibitors, hirudin derivatives",,芦定,,inhibitor,small_molecule,,bivalirudin;desirudin;lepirudin;pegmusirudin,false,,,7,WHO INN Programme
-isant,suffix,target_class_stem,histamine H3 receptor antagonists,,,gpcr,antagonist;agonist,small_molecule,,bavisant;cipralisant;enerisant;irdabisant,false,,,7,WHO INN Programme
-isomide,suffix,mechanism_stem,"class I antiarrhythmics, disopyramide derivatives",,索胺,,,small_molecule,cardiovascular disease,actisomide;bidisomide;pentisomide;disopyramide,false,,,7,WHO INN Programme
-ixafor,suffix,mechanism_stem,chemokine CXCR4 antagonists,,,,antagonist;agonist,small_molecule,,balixafortide;burixafor;boclatixafortide;mavorixafor;motixafortide;plerixafor;anditixafortide,false,,,7,WHO INN Programme
-ixibat,suffix,mechanism_stem,"ileal bile acid transporter (IBAT) inhibitors, bile acid reabsorption inhibitors",,,,inhibitor,small_molecule,,barixibat;elobixibat;linerixibat;maralixibat chloride;odevixibat;ritivixibat;volixibat,false,,,7,WHO INN Programme
-kacin,suffix,mechanism_stem,"antibiotics, kanamycin and bekanamycin derivatives (obtained from Streptomyces kanamyceticus)",,卡星,,inhibitor,small_molecule,infectious disease,amikacin;arbekacin;butikacin;dibekacin;propikacin;bekanamycin;kanamycin;streptoniazid,false,,,7,WHO INN Programme
-kalant,suffix,target_class_stem,potassium channel blockers,,卡兰,ion_channel,antagonist,small_molecule,,adekalant;almokalant;bafrekalant;clamikalant;inakalant;nifekalant;pinokalant;terikalant,false,,,7,WHO INN Programme
-kalim,suffix,target_class_stem,"potassium channel activators, antihypertensive",,卡林,ion_channel,agonist,small_molecule,cardiovascular disease,aprikalim;bimakalim;cromakalim;emakalim;foslevcromakalim;levcromakalim;mazokalim,false,,,7,WHO INN Programme
-kef-,infix,target_class_stem,"Enkephalin, endorphin and dynorphin opioid δ, µ and κ receptor agonists",,,gpcr,agonist,small_molecule,,amdakefalin;casokefamide;difelikefalin;frakefamide;metenkefalin;metkefamide,false,,,7,WHO INN Programme
-kiren,suffix,mechanism_stem,renin inhibitors,,吉仑,,inhibitor,small_molecule,,anakinra,false,,,7,WHO INN Programme
-laner,suffix,target_class_stem,"antagonists of GABA (gamma-aminobutyric acid) regulated chloride channels, antiparasitic agents",,,ion_channel,antagonist;agonist,small_molecule,,afoxolaner;esafoxolaner;fluralaner;lotilaner;mivorilaner;modoflaner;sarolaner;tigolaner,false,,,7,WHO INN Programme
-leukin,suffix,mechanism_stem,interleukin-2 analogues and derivatives,,白介素,immune_checkpoint;cytokine,,small_molecule,,adargileukin alfa;aldesleukin;melredableukin alfa;pegaldesleukin;celmoleukin,false,,,7,WHO INN Programme
-leuton,suffix,mechanism_stem,"5-lipo-oxygenase inhibitors, anti-inflammatory",,,,inhibitor,small_molecule,inflammatory diseases,atreleuton;daleuton;diroleuton;epeleuton;fenleuton;setileuton;zileuton,false,,,7,WHO INN Programme
-listat,suffix,mechanism_stem,gastrointestinal lipase inhibitors,,司他,,inhibitor,small_molecule,,cetilistat;orlistat;aderamastat;aldumastat;batimastat;cipemastat;ilomastat;marimastat,false,,,7,WHO INN Programme
-lubant,suffix,target_class_stem,leukotriene B4 receptor antagonist,,芦班,gpcr,antagonist;agonist,small_molecule,,amelubant;moxilubant;ticolubant,false,,,7,WHO INN Programme
-lutamide,suffix,mechanism_stem,non-steroid antiandrogens,,,nuclear_receptor,,small_molecule,,apalutamide;bavdegalutamide;bicalutamide;darolutamide;deutenzalutamide;enzalutamide;faznolutmide;flutamide,false,,,7,WHO INN Programme
-madlin,suffix,mechanism_stem,E3 ubiquitin-protein ligase Mdm2 (Hdm2) inhibitors,,,,inhibitor,small_molecule,,alrizomadlin;brigimadlin;navtemadlin;rebemadlin;siremadlin;sulanemadlin;idasanutlin;milademetan,false,,,7,WHO INN Programme
