english,chinese,latin,french,spanish,atc
paraflutizide,对氟噻嗪,paraflutizidum,paraflutizide,paraflutizida,
pecilocin,培西洛星,pecilocinum,pécilocine,pecilocina,
penamecillin,培那西林,penamecillinum,pénamécilline,penamecilina,
penimepicycline,青哌环素,penimepicyclinum,pénimépicycline,penimepiciclina,
pentorex,喷托雷司,pentorexum,pentorex,pentorex,
pifenate,哌芬酯,pifenatum,pifénate,pifenato,
pipobroman,哌泊溴烷,pipobromanum,pipobroman,pipobromán,
prednazate,泼那扎特,prednazatum,prednazate,prednazato,
procarbazine,丙卡巴肼,procarbazinum,procarbazine,procarbazina,
proglumide,丙谷胺,proglumidum,proglumide,proglumida,
prolintane,普罗林坦,prolintanum,prolintane,prolintano,
propipocaine,丙哌卡因,propipocainum,propipocaïne,propipocaína,
propiram,丙吡兰,propiramum,propiram,propiram,
propyperone,普罗哌隆,propyperonum,propypérone,propiperona,
protionamide,丙硫异烟胺,protionamidum,protionamide,protionamida,
pyridarone,吡达隆,pyridaronum,pyridarone,piridarona,
pyrimitate,嘧硫磷,pyrimitatum,pyrimitate,pirimitato,
pyritidium bromide,匹立溴铵,pyritidii bromidum,bromure de pyritidium,bromuro de piritidio,
pyrrolifene,吡咯利芬,pyrrolifenum,pyrrolifène,pirrolifeno,
quinetalate,喹他酯,quinetalatum,quinétalate,quinetalato,
racefemine,消旋非明,racefeminum,racéfémine,racefemina,
sulisobenzone,舒利苯酮,sulisobenzonum,sulisobenzone,sulisobenzona,
terodiline,特罗地林,terodilinum,térodiline,terodilina,
tetramisole,四米唑,tetramisolum,tétramisole,tetramisol,
tiamizide,硫米齐特,tiamizidum,tiamizide,tiamizida,
tioguanine,硫鸟嘌呤,tioguaninum,tioguanine,tioguanina,
tiotixene,替奥噻吨,tiotixenum,tiotixène,tiotixeno,
tioxolone,噻克索酮,tioxolonum,tioxolone,tioxolona,
tolycaine,托利卡因,tolycainum,tolycaïne,tolicaína,
triclacetamol,三氯他莫,triclacetamolum,triclacétamol,triclacetamol,
triclocarban,三氯卡班,triclocarbanum,triclocarban,triclocarbán,
triclodazol,三氯达唑,triclodazolum,triclodazol,triclodazol,
trifluperidol,三氟哌多,trifluperidolum,triflupéridol,trifluperidol,
trioxysalen,三甲沙林,trioxysalenum,trioxysalène,trioxisaleno,
tylosin,泰洛星,tylosinum,tylosine,tilosina,
urokinase,尿激酶,urokinasum,urokinase,uroquinasa,
verapamil,维拉帕米,verapamilum,vérapamil,verapamilo,
vinglycinate,长春甘酯,vinglycinatum,vinglycinate,vinglicinato,
vintiamol,苯酰乙烯硫胺,vintiamolum,vintiamol,vintiamol,
digitoxin,洋地黄毒苷,digitoxinum,digitoxine,digitoxina,
acefurtiamine,醋糠硫胺,acefurtiaminum,acéfurtiamine,acefurtiamina,
acetorphine,醋托啡,acetorphinum,acétorphine,acetorfina,
acevaltrate,醋戊曲酯,acevaltratum,acévaltrate,acevaltrato,
acevaltrate,醋戊曲酯,acevaltratum,acévaltrate,acevaltrato,
clamidoxic acid,克拉度酸,acidum clamidoxicum,acide clamidoxique,ácido clamidóxico,
meclofenamic acid,甲氯芬那酸,acidum meclofenamicum,acide méclofénamique,ácido meclofenámico,
niflumic acid,尼氟酸,acidum niflumicum,acide niflumique,ácido niflúmico,
nixylic acid,尼克昔酸,acidum nixylicum,acide nixylique,ácido nixílico,
nixylic acid,尼克昔酸,acidum nixylicum,acide nixylique,ácido nixílico,
alcuronium chloride,阿库氯铵,alcuronii chloridum,chlorure d'alcuronium,cloruro de alcuronio,
amantocillin,金刚西林,amantocillinum,amantocilline,amantocilina,
amicibone,阿米西酮,amicibonum,amicibone,amicibona,
amiquinsin,氨喹新,amiquinsinum,amiquinsine,amiquinsina,
antramycin,安曲霉素,antramycinum,antramycine,antramicina,
apicycline,阿哌环素,apicyclinum,apicycline,apiciclina,
beclotiamine,苄氯硫胺,beclotiaminum,béclotiamine,beclotiamina,
broquinaldol,溴喹那多,broquinaldolum,broquinaldol,broquinaldol,
bucolome,布可隆,bucolomum,bucolome,bucolomo,
bupivacaine,布比卡因,bupivacainum,bupivacaïne,bupivacaína,
butetamate,布替他酯,butetamatum,butétamate,butetamato,
candicidin,克念菌素,candicidinum,candicidine,candicidina,
carbocloral,卡波氯醛,carbocloralum,carbocloral,carbocloral,
cetotiamine,西托硫胺,cetotiaminum,cétotiamine,cetotiamina,
cidoxepin,西多塞平,cidoxepinum,cidoxépine,cidoxepina,
cimemoxin,西美莫辛,cimemoxinum,cimémoxine,cimemoxina,
cinanserin,辛那色林,cinanserinum,cinansérine,cinanserina,
cinnopentazone,辛喷他宗,cinnopentazonum,cinnopentazone,cinopentazona,
citicoline,胞磷胆碱,citicolinum,citicoline,citicolina,
clinolamide,环己亚油酰胺,clinolamidum,clinolamide,clinolamida,
clofazimine,氯法齐明,clofaziminum,clofazimine,clofazimina,
clofenciclan,氯苯环仑,clofenciclanum,clofenciclane,clofenciclán,
clofezone,氯非宗,clofezonum,clofézone,clofezona,
clomipramine,氯米帕明,clomipraminum,clomipramine,clomipramina,
cloperidone,氯哌酮,cloperidonum,clopéridone,cloperidona,
cloquinozine,克洛喹嗪,cloquinozinum,cloquinozine,cloquinozina,
clormecaine,氯美卡因,clormecainum,clormécaïne,clormecaína,
cyclazodone,环唑酮,cyclazodonum,cyclazodone,ciclazodona,
cyclofenil,环芬尼,cyclofenilum,cyclofénil,ciclofenilo,
cycotiamine,赛可硫胺,cycotiaminum,cycotiamine,cicotiamina,
cyheptamide,环庚米特,cyheptamidum,cyheptamide,ciheptamida,
cyprenorphine,环丙诺啡,cyprenorphinum,cyprénorphine,ciprenorfina,
cyprodenate,赛普罗酯,cyprodenatum,cyprodénate,ciprodenato,
dantrolene,丹曲林,dantrolenum,dantrolène,dantroleno,
demelverine,地美维林,demelverinum,démelvérine,demelverina,
descinolone,地西龙,descinolonum,descinolone,descinolona,
dextriferron,糊精铁,dextriferronum,dextriferron,dextriferrón,
dibupyrone,地布匹隆,dibupyronum,dibupyrone,dibupirona,
dicarfen,地卡芬,dicarfenum,dicarfène,dicarfeno,
didrovaltrate,地戊曲酯,didrovaltratum,didrovaltrate,didrovaltrato,
difemerine,双苯美林,difemerinum,difémérine,difemerina,
dimetotiazine,二甲替嗪,dimetotiazinum,dimétotiazine,dimetotiazina,
dimetridazole,地美硝唑,dimetridazolum,dimétridazole,dimetridazol,
dinsed,定磺胺,dinsedum,dinsed,dinsedo,
drotaverine,屈他维林,drotaverinum,drotavérine,drotaverina,
etabenzarone,依他扎隆,etabenzaronum,étabenzarone,etabenzarona,
etaqualone,依他喹酮,etaqualonum,étaqualone,etacualona,
ethynerone,氯炔诺酮,ethyneronum,éthynérone,etinerona,
etorphine,埃托啡,etorphinum,étorphine,etorfina,
fenpipramide,芬哌酰胺,fenpipramidum,fenpipramide,fenpipramida,
fenpiprane,芬哌丙烷,fenpipranum,fenpiprane,fenpiprano,
fenproporex,芬普雷司,fenproporexum,fenproporex,fenproporex,
flavamine,黄酮胺,flavaminum,flavamine,flavamina,
flucloxacillin,氟氯西林,flucloxacillinum,flucloxacilline,flucloxacilina,
flumetramide,氟美吗酮,flumetramidum,flumétramide,flumetramida,
ftalofyne,酞己炔酯,ftalofynum,ftalofyne,ftalofina,
furaltadone,呋喃他酮,furaltadonum,furaltadone,furaltadona,
fursultiamine,呋喃硫胺,fursultiaminum,fursultiamine,fursultiamina,
gamfexine,更非辛,gamfexinum,gamfexine,ganfexina,
glyclopyramide,格列吡脲,glyclopyramidum,glyclopyramide,gliclopiramida,
haloprogin,卤普罗近,haloproginum,haloprogine,haloprogina,
hamycin,哈霉素,hamycinum,hamycine,hamicina,
hexacyprone,己西酮,hexacypronum,hexacyprone,hexaciprona,
hycanthone,海恩酮,hycanthonum,hycanthone,hicantona,
idoxuridine,碘苷,idoxuridinum,idoxuridine,idoxuridina,
indoxole,吲哚克索,indoxolum,indoxole,indoxol,
ketimipramine,凯替帕明,ketimipraminum,kétimipramine,ketimipramina,
leptacline,来普他林,leptaclinum,leptacline,leptaclina,
leucinocaine,亮氨卡因,leucinocainum,leucinocaïne,leucinocaína,
levofuraltadone,左呋喃他酮,levofuraltadonum,lévofuraltadone,levofuraltadona,
metribolone,美曲勃龙,metribolonum,métribolone,metribolona,
mikamycin,米卡霉素,mikamycinum,mikamycine,micamicina,
mitogillin,米托洁林,mitogillinum,mitogilline,mitogilina,
mitopodozide,米托肼,mitopodozidum,mitopodozide,mitopodozida,
mitotenamine,米托那明,mitotenaminum,mitoténamine,mitotenamina,
myfadol,麦法多,myfadolum,myfadol,mifadol,
nifuraldezone,硝呋地腙,nifuraldezonum,nifuraldézone,nifuraldezona,
nifuratel,硝呋太尔,nifuratelum,nifuratel,nifuratel,
nifurvidine,硝呋维啶,nifurvidinum,nifurvidine,nifurvidina,
niridazole,尼立达唑,niridazolum,niridazole,niridazol,
nitarsone,硝苯胂酸,nitarsonum,nitarsone,nitarsona,
norbudrine,诺布君,norbudrinum,norbudrine,norbudrina,
norgestrel,炔诺孕酮,norgestrelum,norgestrel,norgestrel,
orestrate,奥雌酯,orestratum,orestrate,orestrato,
oxaflumazine,奥沙氟嗪,oxaflumazinum,oxaflumazine,oxaflumazina,
oxyridazine,氧哌达嗪,oxyridazinum,oxyridazine,oxiridazina,
pipamperone,匹泮哌隆,pipamperonum,pipampérone,pipamperona,
poloxalene,泊洛扎林,poloxalenum,poloxalène,poloxaleno,
primaperone,普立哌隆,primaperonum,primapérone,primaperona,
proclonol,丙氯诺,proclonolum,proclonol,proclonol,
proquinolate,丙喹酯,proquinolatum,proquinolate,proquinolato,
proscillaridin,海葱次苷,proscillaridinum,proscillaridine,proscilaridina,
pyrantel,噻嘧啶,pyrantelum,pyrantel,pirantel,
pyrrolnitrin,吡咯尼群,pyrrolnitrinum,pyrrolnitrine,pirrolnitrina,
quinaldine blue,喹那定蓝,quinaldinum coeruleum,bleu de quinaldine,azul de quinaldina,
quinazosin,喹唑嗪,quinazosinum,quinazosine,quinazosina,
quinprenaline,喹丙那林,quinprenalinum,quinprénaline,quinprenalina,
quipazine,喹哌嗪,quipazinum,quipazine,quipazina,
rifampicin,利福平,rifampicinum,rifampicine,rifampicina,
rimantadine,金刚乙胺,rimantadinum,rimantadine,rimantadina,
roletamide,咯来米特,roletamidum,rolétamide,roletamida,
roxarsone,罗沙胂,roxarsonum,roxarsone,roxarsona,
roxoperone,罗索哌隆,roxoperonum,roxopérone,roxoperona,
simetride,西美曲特,simetridum,simétride,simetrida,
spiperone,螺哌隆,spiperonum,spipérone,espiperona,
stenbolone,司腾勃龙,stenbolonum,stenbolone,estenbolona,
sulfabenz,磺胺苯,sulfabenzum,sulfabenz,sulfabenzo,
sulfaclomide,磺胺氯啶,sulfaclomidum,sulfaclomide,sulfaclomida,
talbutal,他布比妥,talbutalum,talbutal,talbutal,
teroxalene,特罗扎林,teroxalenum,téroxalène,teroxaleno,
tetrazepam,四氢西泮,tetrazepamum,tétrazépam,tetrazepam,
tetroquinone,四羟醌,tetroquinonum,tétroquinone,tetroquinona,
tiazesim,硫西新,tiazesimum,tiazésime,tiazesim,
toquizine,托喹嗪,toqulzinum,toquizine,toquizina,
trimoxamine,曲莫沙明,trimoxaminum,trimoxamine,trimoxamina,
troxerutin,曲克芦丁,troxerutinum,troxérutine,troxerutina,
valtrate,戊曲酯,valtratum,valtrate,valtrato,
sarcolysin,沙可来新,sarcolysinum,sarcolysine,sarcolisina,
acetergamine,醋麦角胺,acetergaminum,acétergamine,acetergamina,
acexamic acid,醋氨己酸,acidum acexamicum,acide acexamique,ácido acexámico,
etonam,依托南,etonamum,étonam,etonam,
fantridone,泛曲酮,fantridonum,fantridone,fantridona,
picodralazine,吡考屈嗪,picodralazinum,picodralazine,picodralazina,
silandrone,硅雄酮,silandronum,silandrone,silandrona,
talastine,他拉斯汀,talastinum,talastine,talastina,
tiosalan,硫沙仑,tiosalanum,tiosalan,tiosalán,
fepentolic acid,苯喷酸,acidum fepentolicum,acide fépentolique,ácido fepentólico,
alprenolol,阿普洛尔,alprenololum,alprénolol,alprenolol,
ambuside,安布赛特,ambusidum,ambuside,ambusida,
atolide,阿托利特,atolidum,atolide,atolida,
azaribine,阿扎立滨,azaribinum,azaribine,azaribina,
bepiastine,贝匹斯汀,bepiastinum,bépiastine,bepiastina,
bolenol,勃来诺,bolenolum,bolénol,bolenol,
decloxizine,去氯羟嗪,decloxizinum,décloxizine,decloxizina,
menoctone,美诺克酮,menoctonum,ménoctone,menoctona,
mequidox,美喹多司,mequidoxum,méquidox,mequidox,
nebramycin,尼拉霉素,nebramycinum,nébramycine,nebramicina,
nitroxinil,硝碘酚腈,nitroxinilum,nitroxinil,nitroxinilo,
octodrine,奥托君,octodrinum,octodrine,octodrina,
parbendazole,帕苯达唑,parbendazolum,parbendazole,parbendazol,
prazitone,哌拉齐通,prazitonum,prazitone,pracitona,
propizepine,丙吡西平,propizepinum,propizépine,propizepina,
sulbentine,舒苯汀,sulbentinum,sulbentine,sulbentina,
taloximine,他洛昔明,taloximinum,taloximine,taloximina,
canrenoic acid,坎利酸,acidum canrenoicum,acide canrénoïque,ácido canrenoico,
cicrotoic acid,环丁烯酸,acidum cicrotoicum,acide cicrotoïque,ácido cicrotoico,
clofibric acid,氯贝酸,acidum clofibricum,acide clofibrique,ácido clofíbrico,
metiazinic acid,甲嗪酸,acidum metiazinicum,acide métiazinique,ácido metiazínico,
benmoxin,苯莫辛,benmoxinum,benmoxine,benmoxina,
boldenone,勃地酮,boldenonum,boldénone,boldenona,
bromhexine,溴己新,bromhexinum,bromhexine,bromhexina,
bufexamac,丁苯羟酸,bufexamacum,bufexamac,bufexamaco,
cingestol,烯孕醇,cingestolum,cingestol,cingestol,
cloprothiazole,氯普噻唑,cloprothiazolum,cloprothiazole,cloprotiazol,
clotioxone,氯硫酮,clotioxonum,clotioxone,clotioxona,
creatinolfosfate,肉醇磷酯,creatinolfosfatum,créatinolfosfate,creatinolfosfato,
danazol,达那唑,danazolum,danazol,danazol,
dexivacaine,地昔卡因,dexivacainum,dexivacaïne,dexivacaína,
etolorex,依托雷司,etolorexum,étolorex,etolorex,
filipin,非律平,filipinum,filipine,filipina,
flualamide,氟拉胺,flualamidum,flualamide,flualamida,
geroquinol,吉罗酚,geroquinolum,géroquinol,geroquinol,
medazepam,美达西泮,medazepamum,médazépam,medazepam,
metampicillin,美坦西林,metampicillinum,métampicilline,metampicilina,
mianserin,米安色林,mianserinum,miansérine,mianserina,
mitoguazone,米托胍腙,mitoguazonum,mitoguazone,mitoguazona,
moquizone,吗喹酮,moquizonum,moquizone,moquizona,
niclofolan,联硝氯酚,niclofolanum,niclofolan,niclofolán,
nifurfoline,硝呋复林,nifurfolinum,nifurfoline,nifurfolina,
nifurpipone,硝呋哌酮,nifurpiponum,nifurpipone,nifurpipona,
nifursol,硝呋索尔,nifursolum,nifursol,nifursol,
nimazone,尼马宗,nimazonum,nimazone,nimazona,
norflurane,诺氟烷,norfluranum,norflurane,norflurano,
nortetrazepam,诺替西泮,nortetrazepamum,nortétrazépam,nortetrazepam,
noxiptiline,诺昔替林,noxiptilinum,noxiptiline,noxiptilina,
oxifentorex,氧苯雷司,oxifentorexum,oxifentorex,oxifentorex,
prifinium bromide,吡芬溴铵,prifinii bromidum,bromure de prifinium,bromuro de prifinio,
profadol,普罗法多,profadolum,profadol,profadol,
tetridamine,四氢达明,tetridaminum,tétridamine,tetridamina,
ellagic acid,柔花酸,acidum ellagicum,acide ellagique,ácido elágico,
yohimbic acid,育亨宾酸,acidum yohimbicum,acide yohimbique,ácido yohímbico,
aptocaine,阿托卡因,aptocainum,aptocaïne,aptocaína,
aranotin,阿拉诺丁,aranotinum,aranotine,aranotina,
azaserine,偶氮丝氨酸,azaserinum,azasérine,azaserina,
bolazine,勃拉嗪,bolazinum,bolazine,bolazina,
carbomer,卡波姆,carbomerum,carbomère,carbómero,
dacuronium bromide,达库溴铵,dacuronii bromidum,bromure de dacuronium,bromuro de dacuronio,
diflumidone,二氟米酮,diflumidonum,diflumidone,diflumidona,
difluprednate,二氟泼尼酯,difluprednatum,difluprednate,difluprednato,
diprenorphine,二丙诺啡,diprenorphinum,diprénorphine,diprenorfina,
ditazole,地他唑,ditazolum,ditazole,ditazol,
flunidazole,氟硝唑,flunidazolum,flunidazole,flunidazol,
fospirate,福司吡酯,fospiratum,fospirate,fospirato,
levamisole,左旋咪唑,levamisolum,lévamisole,levamisol,
levodopa,左旋多巴,levodopum,lévodopa,levodopa,
nisobamate,尼索氨酯,nisobamatum,nisobamate,nisobamato,
pimefylline,匹美茶碱,plmefyllinum,piméfylline,pimefilina,
piquizil,哌喹齐尔,piquizilum,piquizil,piquizilo,
promolate,普罗吗酯,promolatum,promolate,promolato,
spirgetine,螺吉汀,spirgetinum,spirgétine,espirgetina,
triflumidate,三氟米酯,triflumidatum,-vérlne,triflumidato,
acedapsone,醋氨苯砜,acedapsonum,acédapsone,acedapsona,
acronine,阿克罗宁,acroninum,acronine,acronina,
bendazac,苄达酸,bendazacum,bendazac,bendazaco,
bucrilate,丁氰酯,bucrilatum,bucrilate,bucrilato,
bunolol,布诺洛尔,bunololum,bunolol,bunolol,
chromocarb,色烯卡,chromocarbum,chromocarbe,cromocarbo,
ciclacillin,环己西林,ciclacillinum,ciclacilline,ciclacilina,
cinoxate,西诺沙酯,cinoxatum,cinoxate,cinoxato,
clonixeril,氯尼塞利,clonixerilum,clonixéril,clonixerilo,
clonixin,氯尼辛,clonixinum,clonixine,clonixino,
clozapine,氯氮平,clozapinum,clozapine,clozapina,
cofisatin,双胆酚丁,cofisatinum,cofisatine,cofisatina,
enestebol,依奈替勃,enestebolum,énestébol,enestebol,
epimestrol,表美雌醇,epimestrolum,épimestrol,epimestrol,
eprozinol,依普罗醇,eprozinolum,éprozinol,eprozinol,
euprocin,尤普罗辛,euprocinum,euprocine,euprocina,
fluclorolone acetonide,氟氯奈德,flucloroloni acetonidum,acétonide de fluclorolone,acetónido de fluclorolona,
flucytosine,氟胞嘧啶,flucytosinum,flucytosine,flucitosina,
flunarizine,氟桂利嗪,flunarizinum,flunarizine,flunarizina,
flutiazin,氟替阿嗪,flutiazinum,flutiazine,flutiazina,
ftormetazine,氟托他嗪,ftormetazinum,ftormétazine,ftormetazina,
ftorpropazine,氟托丙嗪,ftorpropazinum,ftorpropazine,ftorpropazina,
kallidinogenase,血管舒缓素,kallidinogenasum,kallidinogénase,kalidinogenasa,
ketoxal,凯托沙,ketoxalum,kétoxal,ketoxal,
mecrilate,美克立酯,mecrilatum,mécrilate,mecrilato,
meglucycline,甲葡环素,meglucyclinum,méglucycline,megluciclina,
memotine,美莫汀,memotinum,mémotine,memotina,
menitrazepam,甲硝西泮,menitrazepamum,ménitrazépam,menitrazepam,
mepiroxol,甲吡罗索,mepiroxolum,mépiroxol,mepiroxol,
metacetamol,间醋氨酚,metacetamolum,métacétamol,metacetamol,
metiapine,甲硫平,metiapinum,métiapine,metiapina,
nequinate,奈喹酯,nequinatum,néquinate,nequinato,
nifurizone,硝呋立宗,nifurizonum,nifurizone,nifurizona,
ocrilate,奥克立酯,ocrilatum,ocrilate,ocrilato,
oxibetaine,奥甜菜碱,oxibetainum,oxibétaïne,oxibetaína,
pizotifen,苯噻啶,pizotifenum,pizotifène,pizotifeno,
politef,聚四氟乙烯,politefum,politef,politefo,
rizolipase,根霉脂肪酶,rizolipasum,rizolipase,rizolipasa,
arsanilic acid,氨苯胂酸,acidum arsanilicum,acide arsanilique,ácido arsanílico,
carbaril,卡巴立,carbarilum,carbaril,carbarilo,
cellaburate,纤维醋丁酯,cellaburatum,cellaburate,celaburato,
cicliomenol,环碘甲酚,cicliomenolum,ciclioménol,cicliomenol,
citiolone,西替奥酮,citiolonum,citiolone,citiolona,
clofenvinfos,氯芬磷,clofenvinfosum,clofenvinfos,clofenvinfós,
detanosal,地他诺柳,detanosalum,détanosal,detanosal,
dimesone,地美松,dimesonum,dimésone,dimesona,
dinitolmide,二硝托胺,dinitolmidum,dinitolmide,dinitolmida,
famotine,法莫汀,famotinum,famotine,famotina,
fenocinol,非诺西醇,fenocinolum,fénocinol,fenocinol,
fenticlor,芬替克洛,fenticlorum,fenticlor,fenticloro,
ifosfamide,异环磷酰胺,ifosfamidum,ifosfamide,ifosfamida,
intrazole,吲四唑,intrazolum,intrazole,intrazol,
josamycin,交沙霉素,josamycinum,josamycine,josamicina,
nafomine,萘甲羟胺,nafominum,nafomine,nafomina,
oxisuran,奥昔舒仑,oxisuranum,oxisuran,oxisurán,
perlapine,哌拉平,perlapinum,perlapine,perlapina,
pindolol,吲哚洛尔,pindololum,pindolol,pindolol,
pipoxolan,哌泊索仑,pipoxolanum,pipoxolan,pipoxolán,
piribedil,吡贝地尔,piribedilum,piribédil,piribedil,
resorantel,雷琐太尔,resorantelum,résorantel,resorantel,
ticlatone,替克拉酮,ticlatonum,ticlatone,ticlatona,
tiletamine,替来他明,tiletaminum,tilétamine,tiletamina,
tiprenolol,替普洛尔,tiprenololum,tiprénolol,tiprenolol,
toldimfos,托定磷,toldimfosum,toldimfos,toldimfós,
tolmetin,托美丁,tolmetinum,tolmétine,tolmetina,
trazodone,曲唑酮,trazodonum,trazodone,trazodona,
vidarabine,阿糖腺苷,vidarabinum,vidarabine,vidarabina,
warfarin,华法林,warfarinum,warfarine,warfarina,
domiphen bromide,度米芬,domiphent bromidum,-vérine,bromuro de domifeno,
almestrone,阿美雌酮,almestronum,almestrone,almestrona,
carperone,卡哌隆,carperonum,carpérone,carperona,
clanobutin,氯诺布汀,clanobutinum,clanobutine,clanobutina,
clenpirin,克仑吡林,clenpirinum,clenpirine,clenpirina,
clotrimazole,克霉唑,clotrimazolum,clotrimazole,clotrimazol,
codactide,可达克肽,codactidum,codactide,codactida,
delfantrine,地泛群,delfantrinum,delfantrine,delfantrina,
etasuline,乙他舒林,etasulinum,étasuline,etasulina,
flamenol,夫拉美诺,flamenolum,flaménol,flamenol,
floctafenine,夫洛非宁,floctafeninum,floctafénine,floctafenina,
glisoxepide,格列派特,glisoxepidum,glisoxépide,glisoxepida,
imidocarb,咪多卡,imidocarbum,imidocarbe,imidocarbo,
nomifensine,诺米芬辛,nomifensinum,nomifensine,nomifensina,
orazamide,奥拉米特,orazamidum,orazamide,orazamida,
panidazole,帕硝唑,panidazolum,panidazole,panidazol,
pendecamaine,喷地卡铵,pendecamainum,pendécamaïne,pendecamaína,
tefazoline,替法唑啉,fefazolinum,téfazoline,tefazolina,
troleandomycin,醋竹桃霉素,troleandomycinum,-vérine,troleandomicina,
bromebric acid,溴美酸,acidum bromebricum,acide bromébrique,ácido bromébrico,
capobenic acid,卡泊酸,acidum capobenicum,acide capobénique,ácido capobénico,
alletorphine,烯丙托啡,alletorphinum,allétorphine,aletorfina,
amadinone,阿马地酮,amadinonum,amadinone,amadinona,
benfluorex,苯氟雷司,benfluorexum,benfluorex,benfluorex,
benzoclidine,苯佐利定,benzoclidinum,benzoclidine,benzoclidina,
bumecaine,布美卡因,bumecainum,bumécaïne,bumecaína,
butirosin,布替罗星,butirosinum,butirosine,butirosina,
cefacetrile,头孢乙腈,cefacetrilum,céfacétrile,cefacetrilo,
dicolinium iodide,地库碘铵,dicolinii iodidum,iodure de dicolinium,ioduro de dicolinio,
doxorubicin,多柔比星,doxorubicinum,doxorubicine,doxorubicina,
enflurane,恩氟烷,enfluranum,enflurane,enflurano,
flutizenol,氟替噻醇,flutizenolum,flutizénol,flutizenol,
heliomycin,海利霉素,heliomycinum,héliomycine,heliomicina,
homprenorphine,胡丙诺啡,homprenorphinum,homprénorphine,homprenorfina,
indoramin,盐酸吲哚拉明,indoraminum,indoramine,indoramina,
letimide,来替米特,letimidum,létimide,letimida,
metazide,甲烟肼,metazidum,métazide,metazida,
metochalcone,美托查酮,metochalconum,métochalcone,metocalcona,
minoxidil,米诺地尔,minoxidilum,minoxidil,minoxidil,
mitocarcin,米托克星,mitocarcinum,mitocarcine,mitocarcina,
mixidine,米克昔定,mixidinum,mixidine,mixidina,
moracizine,莫雷西嗪,moracizinum,moracizine,moracizina,
naproxen,萘普生,naproxenum,naproxène,naproxeno,
naproxol,萘普索,naproxolum,naproxol,naproxol,
nefopam,奈福泮,nefopamum,néfopam,nefopam,
oxaflozane,奥沙氟生,oxaflozanum,oxaflozane,oxaflozano,
oxazolam,奥沙唑仑,oxazolamum,oxazolam,oxazolam,
oxazorone,羟佐隆,oxazoronum,oxazorone,oxazorona,
padimate,帕地马酯,padimatum,padimate,padimato,
pemerid,哌美立特,pemeridum,péméride,pemerida,
picolamine,吡考胺,picolaminum,picolamine,picolamina,
pipebuzone,哌布宗,pipebuzonum,pipébuzone,pipebuzona,
pipotiazine,哌泊塞嗪,pipotiazinum,pipotiazine,pipotiazina,
pitofenone,吡托非农,pitofenonum,pitofénone,pitofenona,
quintiofos,喹硫磷,quintiofosum,quintiofos,quintiofós,
sisomicin,西索米星,sisomicinum,sisomicine,sisomicina,
spiclomazine,螺氯马嗪,spiclomazinum,spiclomazine,espiclomazina,
suncillin,森西林,suncillinum,suncilline,suncilina,
treloxinate,曲洛酯,treloxinatum,tréloxinate,treloxinato,
trepirium iodide,曲吡碘铵,trepirii iodidum,iodure de trépirium,ioduro de trepirio,
trestolone,曲托龙,trestolonum,trestolone,trestolona,
tretinoin,维A酸,tretinoinum,trétinoïne,tretinoína,
trospium chloride,曲司氯铵,trospii chloridum,chlorure de trospium,cloruro de trospio,
viminol,维米醇,viminolum,viminol,viminol,
demeclocycline,地美环素,demeclocyclinum,-vérine,demeclociclina,
iodoxamic acid,碘沙酸,acidum iodoxamicum,acide iodoxamique,ácido iodoxámico,
amiterol,阿米特罗,amiterolum,amitérol,amiterol,
azalomycin,阿扎霉素,azalomycinum,azalomycine,azalomicina,
benaprizine,贝那利秦,benaprizinum,bénaprizine,benaprizina,
benproperine,苯丙哌林,benproperinum,benpropérine,benproperina,
cefradine,头孢拉定,cefradinum,céfradine,cefradina,
chymopapain,糜木瓜酶,chymopapainum,chymopapaïne,quimopapaína,
ciclopirox,环吡酮,ciclopiroxum,ciclopirox,ciclopirox,
clobetasol,氯倍他索,clobetasolum,clobétasol,clobetasol,
clobetasone,氯倍他松,clobetasonum,clobétasone,clobetasona,
cotriptyline,考曲替林,cotriptylinum,cotriptyline,cotriptilina,
coumazoline,库马唑啉,coumazolinum,coumazoline,cumazolina,
dinoprost,地诺前列素,dinoprostum,dinoprost,dinoprost,
doxibetasol,多倍他索,doxibetasolum,doxibétasol,doxibetasol,
drofenine,六氢芬宁,drofeninum,drofénine,drofenina,
etocarlide,乙卡脲,etocarlidum,étocarlide,etocarlida,
fenoterol,非诺特罗,fenoterolum,fénotérol,fenoterol,
gitoformate,吉妥福酯,gitoformatum,gitoformate,gitoformato,
glucosamine,氨基葡萄糖,glucosaminum,glucosamine,glucosamina,
guanabenz,胍那苄,guanabenzum,guanabenz,guanabenzo,
mecobalamin,甲钴胺,mecobalaminum,mécobalamine,mecobalamina,
metrizamide,甲泛葡胺,metrizamidum,métrizamide,metrizamida,
mitolactol,二溴卫矛醇,mitolactolum,mitolactol,mitolactol,
mitomycin,丝裂霉素,mitomycinum,mitomycine,mitomicina,
molsidomine,吗多明,molsidominum,molsidomine,molsidomina,
morforex,吗福雷司,morforexum,morforex,morforex,
osmadizone,氧马地宗,osmadizonum,osmadizone,osmadizona,
oxapium iodide,奥沙碘铵,oxapii iodidum,iodure d'oxapium,ioduro de oxapio,
picoperine,匹考哌林,picoperinum,picopérine,picoperina,
quindoxin,喹多克辛,quindoxinum,quindoxine,quindoxina,
rimiterol,利米特罗,rimiterolum,rimitérol,rimiterol,
risocaine,利索卡因,risocainum,risocaïne,risocaína,
